from_scat,to_scat
transport_for_shifting,ac_repair_services
transport_for_shifting,packers_&_movers
transport_for_shifting,driver_on_demand
transport_for_shifting,house_shifting_services
transport_for_shifting,sheba_groceries
ac_repair_services,refrigerator_repair_services
ac_repair_services,electricians_for_electrical_service
ac_repair_services,microwave_oven_repair_services
ac_repair_services,plumbing_&_sanitary_services
ac_repair_services,washing_machine_repair_services
ambulance_service,ips_repair_services
ambulance_service,sheba_groceries
ambulance_service,washing_machine_repair_services
ambulance_service,inside_city
beauty_salon_service_for_woman,ac_repair_services
beauty_salon_service_for_woman,body_massage_for_women
beauty_salon_service_for_woman,plumbing_&_sanitary_services
beauty_salon_service_for_woman,electricians_for_electrical_service
beauty_salon_service_for_woman,home_cleaning
body_massage_for_women,beauty_salon_service_for_woman
body_massage_for_women,home_cleaning
body_massage_for_women,tv_repair_services
body_massage_for_women,inside_city
body_massage_for_women,washing_machine_repair_services
buy_ac_with_free_installation,ac_repair_services
buy_ac_with_free_installation,carpentry_services
buy_ac_with_free_installation,fitness_session
buy_ac_with_free_installation,plumbing_&_sanitary_services
buy_ac_with_free_installation,transport_for_shifting
car_lpg_conversion,ac_repair_services
car_repair_&_services,ac_repair_services
car_repair_&_services,driver_on_demand
car_repair_&_services,microwave_oven_repair_services
car_wash_&_polish,ac_repair_services
car_wash_&_polish,emergency_car_services
car_wash_&_polish,fresh_bazaar
car_wash_&_polish,wash_&_iron
car_wash_&_polish,coronavirus_prevention
carpentry_services,ac_repair_services
carpentry_services,electricians_for_electrical_service
carpentry_services,plumbing_&_sanitary_services
carpentry_services,microwave_oven_repair_services
carpentry_services,washing_machine_repair_services
catering,laptop_servicing
cctv_camera_servicing,ac_repair_services
cctv_camera_servicing,gas_stove/burner_repair
cctv_camera_servicing,medical_sample_home_collection
cctv_camera_servicing,plumbing_&_sanitary_services
cctv_camera_servicing,beauty_salon_service_for_woman
coronavirus_prevention,sheba_groceries
coronavirus_prevention,ac_repair_services
coronavirus_prevention,laptop_servicing
coronavirus_prevention,outside_city
coronavirus_prevention,transport_for_shifting
daily_meal,sheba_groceries
daily_meal,coronavirus_prevention
daily_meal,ac_repair_services
daily_meal,plumbing_&_sanitary_services
desktop_services,ac_repair_services
desktop_services,microwave_oven_repair_services
desktop_services,electricians_for_electrical_service
desktop_services,laptop_servicing
desktop_services,tv_repair_services
disinfection_services_for_virus,pest_control_service
disinfection_services_for_virus,sofa_cleaning
disinfection_services_for_virus,hire_a_cleaner
disinfection_services_for_virus,microwave_oven_repair_services
driver_on_demand,coronavirus_prevention
driver_on_demand,refrigerator_repair_services
driver_on_demand,sheba_groceries
driver_on_demand,inside_city
driver_on_demand,ac_repair_services
dry_cleaning,wash_&_iron
dry_cleaning,microwave_oven_repair_services
dry_cleaning,ac_repair_services
electric_geyser_repair_services,ac_repair_services
electric_geyser_repair_services,electricians_for_electrical_service
electric_geyser_repair_services,full_home_deep_cleaning
electric_geyser_repair_services,plumbing_&_sanitary_services
electric_geyser_repair_services,tv_repair_services
electricians_for_electrical_service,ac_repair_services
electricians_for_electrical_service,plumbing_&_sanitary_services
electricians_for_electrical_service,sheba_groceries
electricians_for_electrical_service,microwave_oven_repair_services
electricians_for_electrical_service,gas_stove/burner_repair
emergency_car_rental,inside_city
emergency_car_rental,packers_&_movers
emergency_car_rental,beauty_salon_service_for_woman
emergency_car_rental,road_trip
emergency_car_rental,fresh_fruits
emergency_car_services,electricians_for_electrical_service
emergency_car_services,ac_repair_services
emergency_car_services,vehicle_emergency_support
emergency_car_services,beauty_salon_service_for_woman
emergency_car_services,wash_&_iron
exclusive_iron_offer,ac_repair_services
exclusive_iron_offer,electricians_for_electrical_service
exclusive_iron_offer,painting_services
exclusive_iron_offer,sheba_groceries
exclusive_iron_offer,special_offers
expert_t-shirt,ac_repair_services
fitness_session,transport_for_shifting
fitness_session,inside_city
fitness_session,sheba_groceries
food_delivery,ac_repair_services
food_delivery,fresh_fruits
food_delivery,home_cleaning
food_delivery,parcel_item
food_delivery,transport_for_shifting
fresh_bazaar,sheba_groceries
fresh_bazaar,fresh_fruits
fresh_bazaar,gas_stove/burner_repair
fresh_bazaar,refrigerator_repair_services
fresh_bazaar,salon_services_for_men
fresh_fruits,priyoshop.com
fresh_fruits,food_delivery
fresh_fruits,tv_repair_services
fresh_fruits,fresh_bazaar
fresh_fruits,hire_a_cleaner
full_home_deep_cleaning,house_shifting_services
full_home_deep_cleaning,ac_repair_services
full_home_deep_cleaning,plumbing_&_sanitary_services
full_home_deep_cleaning,refrigerator_repair_services
full_home_deep_cleaning,inside_city
gas_stove/burner_repair,ac_repair_services
gas_stove/burner_repair,electricians_for_electrical_service
gas_stove/burner_repair,plumbing_&_sanitary_services
gas_stove/burner_repair,house_shifting_services
gas_stove/burner_repair,car_wash_&_polish
groom_up_packages_for_men,body_massage_for_women
health_&_hygiene,sheba_groceries
health_&_hygiene,plumbing_&_sanitary_services
health_&_hygiene,fresh_bazaar
health_&_hygiene,health_checkup_&_lab_test
health_&_hygiene,road_trip
health_checkup_&_lab_test,hire_a_cleaner
health_checkup_&_lab_test,medical_sample_home_collection
hire_a_cleaner,ac_repair_services
hire_a_cleaner,sheba_groceries
hire_a_cleaner,beauty_salon_service_for_woman
hire_a_cleaner,ironing_service
hire_a_cleaner,plumbing_&_sanitary_services
home_cleaning,ac_repair_services
home_cleaning,sofa_cleaning
home_cleaning,hire_a_cleaner
home_cleaning,pest_control_service
home_cleaning,plumbing_&_sanitary_services
house_shifting_services,home_cleaning
house_shifting_services,ac_repair_services
house_shifting_services,laptop_servicing
house_shifting_services,hire_a_cleaner
house_shifting_services,electricians_for_electrical_service
housemaid,sheba_groceries
housemaid,driver_on_demand
housemaid,electricians_for_electrical_service
inside_city,road_trip
inside_city,emergency_car_rental
inside_city,outside_city
inside_city,sheba_groceries
inside_city,ac_repair_services
interior_design,"thai,_glass_&_grill_work"
interior_design,electricians_for_electrical_service
interior_design,sheba_groceries
interior_design,coronavirus_prevention
interior_design_consultancy,ac_repair_services
interior_design_consultancy,hire_a_cleaner
interior_design_consultancy,ips_repair_services
interior_design_consultancy,laptop_servicing
interior_design_consultancy,plumbing_&_sanitary_services
ips_repair_services,sofa_cleaning
ips_repair_services,ac_repair_services
ips_repair_services,driver_on_demand
ips_repair_services,inside_city
ips_repair_services,plumbing_&_sanitary_services
ironing_service,ac_repair_services
ironing_service,hire_a_cleaner
ironing_service,pest_control_service
ironing_service,plumbing_&_sanitary_services
ironing_service,kitchen_hood_repair_services
kitchen_hood_repair_services,ac_repair_services
kitchen_hood_repair_services,carpentry_services
kitchen_hood_repair_services,cctv_camera_servicing
kitchen_hood_repair_services,electricians_for_electrical_service
kitchen_hood_repair_services,tv_repair_services
laptop_servicing,ac_repair_services
laptop_servicing,desktop_services
laptop_servicing,plumbing_&_sanitary_services
laptop_servicing,refrigerator_repair_services
laptop_servicing,smartphone_repair
makeover_for_women,sheba_groceries
makeover_for_women,ac_repair_services
makeover_for_women,body_massage_for_women
makeover_for_women,gas_stove/burner_repair
makeover_for_women,mehndi_design
medical_sample_home_collection,desktop_services
mehndi_design,sheba_groceries
microwave_oven_repair_services,ac_repair_services
microwave_oven_repair_services,tv_repair_services
microwave_oven_repair_services,refrigerator_repair_services
microwave_oven_repair_services,plumbing_&_sanitary_services
microwave_oven_repair_services,gas_stove/burner_repair
nid_application_assistance,ac_repair_services
office_shifting_services,full_home_deep_cleaning
outside_city,inside_city
outside_city,ac_repair_services
outside_city,house_shifting_services
outside_city,laptop_servicing
outside_city,plumbing_&_sanitary_services
packers_&_movers,buy_ac_with_free_installation
packers_&_movers,hire_a_cleaner
packers_&_movers,outside_city
packers_&_movers,plumbing_&_sanitary_services
packers_&_movers,ac_repair_services
painting_services,electricians_for_electrical_service
painting_services,makeover_for_women
painting_services,plumbing_&_sanitary_services
painting_services,beauty_salon_service_for_woman
parcel_item,food_delivery
pest_control_service,ac_repair_services
pest_control_service,home_cleaning
pest_control_service,hire_a_cleaner
